Object,ID Number,Experiment Number,Crop,Crop High,Sim availability,LOS availability,NLOS availability,Large Aperture,24 Calibration ID,Background ID LOS,Background ID NLOS
chips_can,1,1,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,0213,0302,0302
master_chef_can,2,1,TRUE,FALSE,TRUE,TRUE,TRUE,FALSE,000,0128,0128
cracker_box,3,1,TRUE,FALSE,TRUE,TRUE,TRUE,TRUE,0213,0228,0228
sugar_box,4,1,TRUE,FALSE,TRUE,TRUE,TRUE,FALSE,0213,0215,0215
tomato_soup_can,5,1,TRUE,FALSE,TRUE,TRUE,TRUE,FALSE,000,0128,0128
mustard_bottle,6,1,TRUE,FALSE,TRUE,TRUE,TRUE,FALSE,000,0206,0215
tuna_fish_can,7,1,TRUE,FALSE,TRUE,TRUE,TRUE,FALSE,000,0128,0128
pudding_box,8,1,TRUE,FALSE,TRUE,TRUE,TRUE,FALSE,0213,0215,0215
gelatin_box,9,1,TRUE,FALSE,TRUE,TRUE,TRUE,FALSE,000,0131,0131
potted_meat_can,10,1,TRUE,FALSE,TRUE,TRUE,TRUE,FALSE,000,0128,0128
banana,11,1,TRUE,FALSE,TRUE,TRUE,TRUE,FALSE,0213,0215,0215
strawberry,12,1,TRUE,FALSE,TRUE,TRUE,TRUE,FALSE,000,0130,0130
apple,13,1,TRUE,FALSE,TRUE,TRUE,TRUE,FALSE,000,0131,0131
lemon,14,1,TRUE,FALSE,TRUE,TRUE,TRUE,FALSE,000,0206,0206
peach,15,1,TRUE,FALSE,TRUE,TRUE,TRUE,FALSE,0213,0214,0214
pear,16,1,TRUE,FALSE,TRUE,TRUE,TRUE,FALSE,0213,0214,0214
orange,17,1,TRUE,FALSE,TRUE,TRUE,TRUE,FALSE,0213,0215,0215
plum,18,1,TRUE,FALSE,TRUE,TRUE,TRUE,FALSE,000,0210,0210
pitcher_base,19,1,,,,,,,0213,0802,0808
bleach_cleanser,21,1,TRUE,FALSE,TRUE,TRUE,TRUE,FALSE,000,0210,0210
windex_bottle,22,1,TRUE,FALSE,TRUE,TRUE,TRUE,FALSE,0213,0215,0215
wine_glass,23,1,TRUE,FALSE,FALSE,TRUE,TRUE,FALSE,0213,0213,0213
bowl,24,1,TRUE,FALSE,TRUE,TRUE,TRUE,TRUE,0213,0228,0228
mug,25,1,TRUE,FALSE,TRUE,TRUE,TRUE,FALSE,000,0128,0128
sponge,26,1,TRUE,FALSE,TRUE,TRUE,TRUE,FALSE,0213,0215,0215
skillet,27,1,,,,,,,0213,0812,0812
skillet_lid,28,1,,,,,,,0213,0812,0812
plate,29,1,,,,,,,0213,0813,0813
fork,30,1,TRUE,FALSE,TRUE,TRUE,TRUE,FALSE,0213,0215,0215
spoon,31,1,TRUE,FALSE,TRUE,TRUE,TRUE,FALSE,0213,0215,0215
knife,32,1,TRUE,FALSE,TRUE,TRUE,TRUE,FALSE,0213,0215,0215
spatula,33,1,TRUE,FALSE,TRUE,TRUE,TRUE,FALSE,000,0206,0206
power_drill,35,1,,,,,,,0213,0809,0809
scissors,37,1,TRUE,FALSE,TRUE,TRUE,TRUE,FALSE,000,0210,0210
padlock,38,1,TRUE,FALSE,FALSE,TRUE,TRUE,FALSE,000,0131,0131
key,39,1,TRUE,TRUE,FALSE,TRUE,TRUE,FALSE,0213,0225,0225
large_marker,40,1,TRUE,FALSE,TRUE,TRUE,TRUE,FALSE,0213,0215,0215
small_marker,41,1,TRUE,TRUE,FALSE,TRUE,TRUE,FALSE,0213,0301,0301
wrench,42,1,TRUE,FALSE,TRUE,TRUE,TRUE,FALSE,000,0130,0130
phillips_screwdriver,43,1,TRUE,FALSE,TRUE,TRUE,TRUE,FALSE,0213,0215,0215
flat_screwdriver,44,1,TRUE,FALSE,TRUE,TRUE,TRUE,FALSE,000,0206,0206
plastic_bolt,46,1,TRUE,TRUE,FALSE,TRUE,TRUE,FALSE,0213,0225,0225
plastic_nut,47,1,,,,,,,0213,,
hammer,48,1,TRUE,FALSE,FALSE,TRUE,TRUE,TRUE,0213,0229,0229
small_clamp,49,1,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,0213,0225,0225
medium_clamp,50,1,TRUE,FALSE,TRUE,TRUE,TRUE,FALSE,000,0131,0131
large_clamp,51,1,TRUE,FALSE,TRUE,TRUE,TRUE,FALSE,0213,0215,0215
extra_large_clamp,52,1,TRUE,FALSE,TRUE,TRUE,TRUE,TRUE,0213,0228,0228
mini_soccer_ball,53,1,TRUE,FALSE,TRUE,TRUE,TRUE,FALSE,0213,0225,0225
